id,component_id,param,created,modified
44,3,commit,2022-07-12 15:15:38,2022-07-12 15:15:38
43,4,disk,2022-07-08 13:40:52,2022-07-08 13:40:52
42,4,cpuNumber,2022-07-08 13:40:52,2022-07-08 13:40:52
41,4,memory,2022-07-08 13:40:52,2022-07-08 13:40:52
40,4,vmName,2022-07-08 13:40:52,2022-07-08 13:40:52
39,4,osType,2022-07-08 13:40:52,2022-07-08 13:40:52
38,4,osNumber,2022-07-08 13:40:52,2022-07-08 13:40:52
37,4,vm_docker,2022-07-08 13:40:52,2022-07-08 13:40:52
36,3,registry,2022-07-08 13:40:52,2022-07-08 13:40:52
35,5,container_manager,2022-07-08 13:40:52,2022-07-08 13:40:52
34,5,kube_network_plugin,2022-07-08 13:40:52,2022-07-08 13:40:52
33,5,kube_version,2022-07-08 13:40:52,2022-07-08 13:40:52
32,5,kubernetesInstallMethod,2022-07-08 13:40:52,2022-07-08 13:40:52
31,5,krew_enabled,2022-07-08 13:40:52,2022-07-08 13:40:52
30,5,ingress_nginx_host_network,2022-07-08 13:40:52,2022-07-08 13:40:52
29,5,ingress_nginx_enabled,2022-07-08 13:40:52,2022-07-08 13:40:52
28,5,registry_enabled,2022-07-08 13:40:52,2022-07-08 13:40:52
27,5,helm_enabled,2022-07-08 13:40:52,2022-07-08 13:40:52
26,5,dashboard_enabled,2022-07-08 13:40:52,2022-07-08 13:40:52
25,4,vm_docker,2022-07-08 13:40:52,2022-07-08 13:40:52
24,3,jsf_repo,2022-07-08 13:40:52,2022-07-12 15:14:54
21,3,receivers,2022-07-08 13:40:52,2022-07-08 13:40:52
20,3,sender,2022-07-08 13:40:52,2022-07-08 13:40:52
19,4,vmosArgs,2022-07-08 13:40:52,2022-07-08 13:40:52
18,4,vm_update,2022-07-08 13:40:52,2022-07-08 13:40:52
17,5,kubernetesInstallMethod,2022-07-08 13:40:52,2022-07-08 13:40:52
16,2,kernelArgs,2022-07-08 13:40:52,2022-07-08 13:40:52
15,2,kernelArgs_update,2022-07-08 13:40:52,2022-07-08 13:40:52
14,2,kernelVersion,2022-07-08 13:40:52,2022-07-08 13:40:52
13,2,Kernel_update,2022-07-08 13:40:52,2022-07-08 13:40:52
12,3,os,2022-07-08 13:40:52,2022-07-08 13:40:52
11,3,os_update,2022-07-08 13:40:52,2022-07-08 13:40:52
10,3,args,2022-07-08 13:40:52,2022-07-08 13:40:52
9,3,resultFolder,2022-07-08 13:40:52,2022-07-08 13:40:52
8,3,outputResultFolder,2022-07-08 13:40:52,2022-07-08 13:40:52
7,3,startTaskPath,2022-07-08 13:40:52,2022-07-08 13:40:52
6,3,taskPath,2022-07-08 13:40:52,2022-07-08 13:40:52
5,3,deployMode,2022-07-08 13:40:52,2022-07-08 13:40:52
4,3,workload_deploy,2022-07-08 13:40:52,2022-07-08 13:40:52
3,3,deployHost,2022-07-08 13:40:52,2022-07-08 13:40:52
2,1,bios_update,2022-07-08 13:40:52,2022-07-08 13:40:52
1,1,biosArgs,2022-07-08 13:40:52,2022-07-08 13:40:52
