id,name,owner,repo_url,repo_type,description,mail_recevier,main_sender,created,modified
24,Linpack,,,,,,,2023-09-20 14:57:49,2023-09-20 14:57:49
23,Video-Structure,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
22,SpecCpu-2017,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
21,SPDK-NVMe-o-TCP,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
20,Istio-Envoy,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
19,Fio,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
18,CDN-NGINX,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
17,3DHuman-Pose-Estimation,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
16,Edge-Ceph-VirtIO,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
15,OpenSSL3-RSAMB,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
14,Stream,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
13,ResNet50-TensorFlow-Xeon-Public,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
12,ResNet50-PyTorch-Xeon-Public,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
11,ClickHouse-iaa,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
10,BERTLarge-PyTorch-Xeon-Public,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
9,SmartScience-YOLO-MSTCN-OpenVINO,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
8,Specjbb-2015,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
7,Nginx,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
6,Mongo-ycsb,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
5,Malconv,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
4,Iperf,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
3,OpenSSL-RSAMB,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
2,HammerDB-TPCC,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
1,Kafka,,,,,,,2023-09-19 10:16:32,2023-09-19 10:16:32
